in_packet_ratio,in_byte_ratio,size_mean,size_std,size_min,size_max,iat_mean,iat_std,iat_max,tcp_ratio,udp_ratio,category
0.5312359550561798,0.7394663234848147,583.92,618.41,54,1514,0.008848,0.056309,1.481019,0.9393258426966292,0.0606741573033707,browsing
0.5440758293838862,0.753775917036839,595.66,621.19,54,1514,0.009342,0.063878,1.492133,0.9350710900473934,0.0649289099526066,browsing
0.5560190703218116,0.7828513697702039,598.14,621.39,54,1514,0.011895,0.076116,1.492133,0.9773539928486292,0.0226460071513706,browsing
0.6116107931316435,0.8470069996623786,615.14,622.08,54,1514,0.016225,0.094131,1.492133,0.9607522485690924,0.0392477514309076,browsing
0.6124794745484401,0.8485636404005061,613.84,623.57,54,1514,0.013976,0.075441,1.187346,0.9605911330049262,0.0394088669950738,browsing
0.6228005865102639,0.771925539524416,714.39,644.81,54,1514,0.00693,0.058811,2.016451,0.8354105571847508,0.1645894428152492,browsing
0.6385662130766677,0.7600810261662116,749.92,652.22,54,1514,0.00663,0.056807,2.016451,0.7155658811815466,0.2844341188184534,browsing
0.6220095693779905,0.7317035280856251,714.17,645.43,54,1514,0.005664,0.045213,2.016451,0.7066387559808612,0.2933612440191387,browsing
0.6370719333212539,0.7862660219099168,791.48,661.68,54,1514,0.003589,0.021819,0.667967,0.7466932415292625,0.2533067584707374,browsing
0.6080647624866351,0.8177588191301307,754.85,642.2,54,1514,0.003049,0.018903,0.587442,0.5825568962883764,0.4174431037116236,browsing
0.5991852639036486,0.8099820961898316,766.58,640.89,54,1514,0.003467,0.02686,0.94133,0.5701381509032943,0.4298618490967056,browsing
0.5957952468007313,0.8045593083316107,772.93,633.06,54,1514,0.003511,0.026884,0.94133,0.5069469835466179,0.493053016453382,browsing
0.5503181029496819,0.7552370768293017,685.55,589.03,54,1514,0.005778,0.044163,1.235017,0.2857142857142857,0.7142857142857143,browsing
0.5242290748898678,0.5189633681358014,660.01,557.49,54,1466,0.021944,0.095738,1.235017,0.1640969162995594,0.8359030837004405,browsing
0.539756782039289,0.5936220629111322,620.59,561.24,54,1490,0.018647,0.082716,1.235017,0.2291861552853134,0.7708138447146866,browsing
0.5789473684210527,0.7037302928990287,680.37,623.6,54,1490,0.012778,0.065897,1.235017,0.5609756097560976,0.4390243902439024,browsing
0.6352693349383087,0.7406435523569144,748.64,651.63,54,1490,0.005823,0.036707,0.878502,0.7490219681011134,0.2509780318988865,browsing
0.6332867132867133,0.7382682741566969,737.99,648.23,54,1490,0.005523,0.036218,1.101346,0.7286713286713287,0.2713286713286713,browsing
0.6554557615134722,0.7650910245338824,787.33,657.28,54,1466,0.003816,0.027505,1.101346,0.8100515956430346,0.1899484043569654,browsing
0.6607486631016043,0.7577710857484653,785.32,658.98,54,1466,0.003927,0.028781,1.101346,0.8344385026737968,0.1655614973262032,browsing
0.6503086419753087,0.7464751905629059,766.09,659.12,54,1490,0.006169,0.048842,1.783168,0.8574074074074074,0.1425925925925926,browsing
0.653716732945855,0.7428908419920923,782.74,664.29,54,1490,0.005766,0.05119,1.783168,0.9076170082594064,0.0923829917405934,browsing
0.6263399693721287,0.6767680329407215,673.17,655.92,54,1490,0.015278,0.096705,1.783168,0.9333843797856048,0.0666156202143951,browsing
0.6110552763819096,0.655272068128185,646.49,653.23,54,1490,0.01983,0.124404,2.508911,0.9195979899497488,0.0804020100502512,browsing
0.6028513238289206,0.6495786053266633,555.33,630.02,54,1466,0.040454,0.185506,2.508911,0.8879837067209776,0.1120162932790224,browsing
0.5409836065573771,0.6215844646846537,190.79,306.36,54,1292,0.102875,0.268191,2.508911,0.726775956284153,0.273224043715847,browsing
0.5238095238095238,0.6316441580968901,213.52,340.88,54,1490,0.103453,0.300906,2.508911,0.6825396825396826,0.3174603174603174,browsing
0.4878048780487805,0.7059365102747294,132.46,216.3,54,1490,0.097145,0.237402,2.10215,0.8682926829268293,0.1317073170731707,browsing
0.5418060200668896,0.8221011473201197,507.65,555.95,54,1490,0.033186,0.152402,2.10215,0.2842809364548495,0.7157190635451505,browsing
0.6021978021978022,0.8442247378222092,597.98,570.52,54,1490,0.013584,0.075756,1.869289,0.1553113553113553,0.8446886446886447,browsing
0.5990037359900373,0.8347848919368461,602.34,576.82,54,1514,0.012398,0.071677,1.869289,0.2372353673723536,0.7627646326276464,browsing
0.6022514071294559,0.8275029398007936,616.39,578.49,54,1514,0.012181,0.080861,1.869289,0.2363977485928705,0.7636022514071295,browsing
0.612448132780083,0.8226199184063933,593.37,577.44,54,1514,0.016246,0.101244,1.983683,0.3236514522821577,0.6763485477178424,browsing
0.5422222222222223,0.7177717393936752,458.79,561.3,54,1514,0.043705,0.172196,1.983683,0.7866666666666666,0.2133333333333333,browsing
0.4907975460122699,0.4491233083627605,300.56,451.46,54,1514,0.120635,0.302082,1.983683,0.9141104294478528,0.0858895705521472,browsing
0.5073529411764706,0.4773358628633376,217.04,344.82,54,1494,0.137732,0.305605,1.983683,0.8455882352941176,0.1544117647058823,browsing
0.5,0.4792347176854876,178.58,271.05,54,1494,0.148937,0.272388,1.769598,0.8560606060606061,0.1439393939393939,browsing
0.5146198830409356,0.5355741702894709,220.61,356.45,54,1494,0.113624,0.23801,1.769598,0.7777777777777778,0.2222222222222222,browsing
0.556,0.6863839285714286,333.31,494.42,54,1490,0.078575,0.185123,1.375811,0.84,0.16,browsing
0.5836065573770491,0.6936241658083723,464.77,591.14,54,1490,0.064604,0.171373,1.375811,0.8918032786885246,0.1081967213114754,browsing
0.595679012345679,0.6961272518681592,497.7,602.07,54,1490,0.06099,0.183619,1.375811,0.8981481481481481,0.1018518518518518,browsing
0.6136363636363636,0.7241052817523406,536.08,618.46,54,1490,0.071796,0.236963,2.464433,0.9621212121212122,0.0378787878787878,browsing
0.6190476190476191,0.7144996806237748,540.49,617.73,54,1466,0.111887,0.322781,2.464433,0.9642857142857144,0.0357142857142857,browsing
0.5547445255474452,0.6785426592096481,317.15,448.1,54,1466,0.145447,0.357858,2.464433,0.7591240875912408,0.2408759124087591,browsing
0.5323741007194245,0.7002575564699961,243.01,372.91,54,1514,0.139659,0.351306,2.464433,0.7122302158273381,0.2877697841726618,browsing
0.5209580838323353,0.6721645510367046,217.47,346.24,54,1514,0.116821,0.281124,1.612274,0.7125748502994012,0.2874251497005988,browsing
0.5384615384615384,0.6431579844829056,225.56,350.67,54,1514,0.07438,0.197759,1.509075,0.573076923076923,0.4269230769230769,browsing
0.5450819672131147,0.6807767703994119,200.7,313.26,54,1514,0.07883,0.19792,1.509075,0.6475409836065574,0.3524590163934426,browsing
0.5467289719626168,0.6369666978734787,174.7,263.15,54,1292,0.08964,0.258716,3.028647,0.6308411214953271,0.3691588785046729,browsing
0.5377358490566038,0.5561775289884047,200.55,304.65,54,1494,0.092828,0.274458,3.028647,0.6462264150943396,0.3537735849056603,browsing
0.5263157894736842,0.5876578779858622,174.56,280.71,54,1494,0.108747,0.299911,3.028647,0.9181286549707602,0.0818713450292397,browsing
0.5238095238095238,0.4761207479161973,187.89,319.95,54,1494,0.088278,0.224925,1.617454,0.8835978835978836,0.1164021164021164,browsing
0.5397727272727273,0.6648756144234738,378.57,492.97,54,1494,0.056551,0.196798,1.662631,0.4488636363636363,0.5511363636363636,browsing
0.62580054894785,0.8116593610248699,536.63,548.41,54,1490,0.017419,0.103184,1.662631,0.141811527904849,0.8581884720951509,browsing
0.5910735826296744,0.6793338631868843,685.26,665.1,54,1514,0.01202,0.072952,1.878228,0.971652593486128,0.0283474065138721,browsing
0.609479305740988,0.7285775754651205,715.21,665.99,54,1514,0.012751,0.091324,2.235553,0.9739652870493992,0.0260347129506008,browsing
0.6194503171247357,0.745536526283683,755.53,670.63,54,1514,0.01295,0.085871,2.235553,0.9971811134601832,0.0028188865398167,browsing
0.6149914821124361,0.7218934183027303,761.34,672.05,54,1514,0.017016,0.115109,2.235553,0.9965928449744464,0.0034071550255536,browsing
0.5803698435277382,0.635675873693396,691.18,662.11,54,1510,0.02838,0.176227,2.72557,0.9943100995732574,0.0056899004267425,browsing
0.5719844357976653,0.6028065226464789,675.89,659.36,54,1510,0.037586,0.184904,2.72557,0.9922178988326849,0.0077821011673151,browsing
0.5,0.3349640852790549,430.4,554.17,54,1509,0.140088,0.420882,3.138954,0.971830985915493,0.028169014084507,browsing
0.5376344086021505,0.7874718211904648,224.18,313.63,54,1490,0.216943,0.506845,3.138954,0.956989247311828,0.043010752688172,browsing
0.5164835164835165,0.472004840661557,272.42,402.48,54,1490,0.216465,0.523697,3.138954,0.978021978021978,0.0219780219780219,browsing
0.5268817204301075,0.4439750721485633,257.09,404.95,54,1490,0.180861,0.444796,2.859359,0.956989247311828,0.043010752688172,browsing
0.5181818181818182,0.4862156257585741,262.15,413.44,54,1490,0.174987,0.469593,2.859359,0.9636363636363636,0.0363636363636363,browsing
0.51875,0.477793886427215,306.08,449.62,54,1490,0.115263,0.362568,2.859359,0.7125,0.2875,browsing
0.5245901639344263,0.5913912509862366,280.5,408.49,54,1490,0.163113,0.464456,3.075545,0.6229508196721312,0.3770491803278688,browsing
0.5251798561151079,0.5505037637521714,310.61,434.03,54,1490,0.128452,0.447441,3.075545,0.4172661870503597,0.5827338129496403,browsing
0.5466666666666666,0.5325561729886445,331.12,447.87,54,1475,0.123285,0.472607,3.410375,0.2866666666666667,0.7133333333333334,browsing
0.5698924731182796,0.5751474334368566,308.14,421.15,54,1292,0.198993,0.662902,3.527563,0.2473118279569892,0.7526881720430108,browsing
0.5631067961165048,0.5784960643108357,289.85,405.72,54,1292,0.193784,0.631103,3.527563,0.3009708737864077,0.6990291262135923,browsing
0.5490196078431373,0.6709541178729123,255.34,385.51,54,1490,0.180314,0.528144,3.527563,0.6372549019607843,0.3627450980392157,browsing
0.5277777777777778,0.7738629083920564,195.12,312.09,54,1490,0.264765,0.608853,3.527563,0.8472222222222222,0.1527777777777778,browsing
0.524390243902439,0.7841835767115494,192.91,306.21,54,1490,0.224974,0.446801,2.218843,0.902439024390244,0.0975609756097561,browsing
0.5762195121951219,0.7031643169832132,530.69,622.88,54,1490,0.060728,0.246558,2.218843,0.926829268292683,0.073170731707317,browsing
0.5616797900262467,0.590399371319082,594.5,646.32,54,1490,0.046816,0.215949,2.218843,0.937007874015748,0.0629921259842519,browsing
0.561038961038961,0.5923512088934533,591.83,644.1,54,1490,0.051995,0.240327,2.675976,0.9376623376623376,0.0623376623376623,browsing
0.5586034912718204,0.5943484964973392,580.61,642.44,54,1490,0.046789,0.224013,2.675976,0.9351620947630924,0.0648379052369077,browsing
0.50625,0.3904439646092268,474.7,595.95,54,1490,0.121877,0.348329,2.675976,0.9375,0.0625,browsing
0.5118110236220472,0.5718684432818333,288.97,401.21,54,1490,0.158144,0.411494,2.675976,0.5433070866141733,0.4566929133858268,browsing
0.5098039215686274,0.474918538844109,304.89,432.85,54,1490,0.126835,0.339403,2.464076,0.5751633986928104,0.4248366013071895,browsing
0.5422396856581533,0.6485052330590025,428.74,527.4,54,1490,0.038196,0.176598,2.464076,0.2888015717092338,0.7111984282907662,browsing
0.5423728813559322,0.6470695420049015,413.41,520.42,54,1490,0.036891,0.157393,2.464076,0.2523540489642185,0.7476459510357816,browsing
0.5382395382395382,0.6189709330940042,398.74,512.97,54,1490,0.028441,0.095276,1.288318,0.2669552669552669,0.733044733044733,browsing
0.5488721804511278,0.6597498493068114,415.79,522.22,54,1514,0.024402,0.077882,1.396357,0.3295739348370927,0.6704260651629073,browsing
0.5420353982300885,0.6003890222416668,374.21,491.28,54,1514,0.044206,0.16557,2.600252,0.4092920353982301,0.5907079646017699,browsing
0.5433255269320844,0.5997636245830433,390.36,500.76,54,1514,0.045127,0.20689,2.600252,0.4566744730679157,0.5433255269320844,browsing
0.4968553459119497,0.4781689410951805,606.81,610.38,54,1514,0.039268,0.215652,2.600252,0.5241090146750524,0.4758909853249476,browsing
0.4648648648648649,0.3995650566513711,621.39,616.56,54,1514,0.04475,0.218765,2.545233,0.4729729729729729,0.527027027027027,browsing
0.4754521963824289,0.4107405799501416,577.35,613.61,54,1514,0.049721,0.240134,2.545233,0.5762273901808785,0.4237726098191214,browsing
0.4722955145118733,0.4091209606692302,586.66,616.45,54,1514,0.047006,0.217975,2.043015,0.5672823218997362,0.4327176781002638,browsing
0.535483870967742,0.6692834603247902,251.48,394.92,54,1514,0.124036,0.378263,2.255564,0.7290322580645161,0.2709677419354839,browsing
0.5428571428571428,0.7045877336080822,249.58,388.48,54,1494,0.142929,0.397542,2.255564,0.6714285714285714,0.3285714285714285,browsing
0.5111111111111111,0.6774796263168357,279.5,410.47,54,1494,0.212315,0.456252,2.255564,0.5111111111111111,0.4888888888888889,browsing
0.582089552238806,0.8461757974247127,698.95,650.3,54,1514,0.026107,0.162616,1.90556,0.2415196743554952,0.7584803256445047,browsing
0.4688682490540076,0.4464951384868796,780.23,664.38,54,1514,0.006757,0.070739,1.90556,0.5906432748538012,0.4093567251461988,browsing
0.4549308344489067,0.3593809815845062,762.91,663.04,54,1514,0.004457,0.051597,1.90556,0.57095046854083,0.42904953145917,browsing
0.4636048526863084,0.367105195445725,761.12,662.78,54,1514,0.003321,0.034292,1.90556,0.5611785095320624,0.4388214904679376,browsing
0.4491846795601061,0.310214841998906,752.89,662.57,54,1514,0.003778,0.035349,1.303357,0.6171786120591581,0.3828213879408418,browsing
0.4854416442378272,0.4062821894087449,703.11,649.67,54,1514,0.004859,0.041064,1.303357,0.4947394176657695,0.5052605823342304,browsing
0.5189379148770011,0.5538065871788203,684.59,642.35,54,1514,0.007627,0.063021,1.896304,0.4662241311987505,0.5337758688012495,browsing
0.5449233016800584,0.7510995660772796,593.9,609.47,54,1514,0.014585,0.091717,1.896304,0.4156318480642805,0.5843681519357194,browsing
0.5515021459227468,0.7608883248730964,591.85,608.54,54,1514,0.013798,0.080963,1.896304,0.4184549356223176,0.5815450643776824,browsing
0.537117903930131,0.6913578757881216,482.74,579.99,54,1514,0.028383,0.13177,1.896304,0.7336244541484717,0.2663755458515284,browsing
0.5821629213483146,0.8477294454551144,650.83,661.14,54,1514,0.014038,0.076901,1.519533,0.8202247191011236,0.1797752808988764,browsing
0.5774027879677183,0.8269041967178334,677.8,667.86,54,1514,0.012924,0.074671,1.519533,0.842993396918562,0.157006603081438,browsing
0.5790794979079498,0.8409447847521079,705.46,677.0,54,1514,0.016207,0.108907,2.356848,0.8334728033472804,0.1665271966527196,browsing
0.5797101449275363,0.8494923624445752,693.37,675.15,54,1514,0.018747,0.110374,2.356848,0.7971014492753623,0.2028985507246377,browsing
0.6349079263410728,0.8665336771677878,655.41,620.21,54,1514,0.015614,0.136269,3.517184,0.4675740592473979,0.5324259407526021,browsing
0.6298701298701299,0.8318474405214469,599.98,645.83,54,1514,0.031747,0.202768,3.517184,0.9285714285714286,0.0714285714285714,browsing
0.6293622141997594,0.7979329088059672,667.27,658.55,54,1514,0.022147,0.130747,1.977757,0.9566787003610108,0.0433212996389891,browsing
0.6358609794628752,0.7971444050300553,702.76,662.6,54,1514,0.014579,0.090317,1.977757,0.9470774091627172,0.0529225908372827,browsing
0.6290688872066617,0.7692108987893318,709.19,663.34,54,1514,0.014709,0.086152,1.977757,0.9523088569265707,0.0476911430734292,browsing
0.6112040133779264,0.7237213903936874,693.0,657.24,54,1510,0.016211,0.076875,1.005011,0.967391304347826,0.0326086956521739,browsing
